Table 3- Radiochemical yields obtained from a set of seawater samples processed following the proposed procedure. ;;;;;;;;;;;;;;;;
Sample;Seawater aliquot [L];U_Yield;un_U_Yield;Np_Yield;un_Np_Yield;Pu_Yield;un_Pu_Yield;;;;;;;;;
1;10;82;9;81;3;81 ± 7;7;;;;;;;;;
2;10;90;10;60;3;61 ± 6;6;;;;;;;;;
3;10;85;9;83;4;88 ± 9;9;;;;;;;;;
4;2.5;100;10;83;3;81 ± 8;8;;;;;;;;;
5;2.5;100;10;88;3;87 ± 9;9;;;;;;;;;
6;2.5;100;10;90;3;94 ± 9;9;;;;;;;;;
Avg.;-;93;-;80;-;80;-;;;;;;;;;
SD;-;8;-;10;-;10;-;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Table 4- Obtained results for the IAEA-443 (Irish Sea Sample). Np and Pu recoveries are shown together with the measured activities of 237Np obtained by using 239Np and 238Pu as tracers. The average results (Avg.) and the Standard Deviation (SD) are calculated in each case. ;;;;;;;;;;;;;;;;
;Np239_Rad_Yield;un_Np239_Rad_Yield;Pu238_Rad_Yield;un_Pu238_Rad_Yield;Np-237[mBq/kg]_from_Np239;un_Np-237[mBq/kg]_from_Np239;Np-237[mBq/kg]_from_Pu238;un_Np-237[mBq/kg]_from_Pu238;;;;;;;;
IAEA-381-1;0.677303571;0.025057938;0.646801158;0.097014027;9.569569235;1.245321405;9.642477547;1.190765159;;;;;;;;
IAEA-381-2;0.687982912;0.025506188;0.742907238;0.103204737;9.453188765;1.109916305;8.726502725;1.086519426;;;;;;;;
IAEA-381-3;0.713009469;0.022067283;0.751013096;0.111427862;9.139002991;1.17827169;8.840021171;1.065365431;;;;;;;;
Avg.;0.692765317;;0.713573831;;9.387253664;;9.069667148;;;;;;;;;
SD;0.018327066;;0.057968686;;0.222727189;;0.499304942;;;;;;;;;
;;;;;;;;;;;;;;;;
Table 5- Results from 2 samples of 1 L aliquots of the IAEA-418 (Mediterranean Sea water). Samples were processed following the proposed method and analyzed by AMS at the CNA. Concentrations of the different radionuclides of interest (236U, 237Np, 239Pu and 240Pu) are shown together with the 236U/238U and 240Pu/239Pu atom ratios;;;;;;;;;;;;;;;;
Sample;236U [1E6 atoms/kg];un_236U;237Np [1E6 atoms/kg];un_237Np;239Pu [1E6 atoms/kg];un_239Pu;240Pu [1E6 atoms/kg];un_Pu240;236U/238U [1E-9 atom ratio];un_236U/238U;240Pu/239Pu [atom ratio];un_240Pu/239Pu;237Np/236U [atom ratio];un_237Np/236U;239+240Pu [uBq/kg];un_Pu239+240
418-a;26;3;16;3;10.3;0.9;2.1;0.2;3.2;0.3;0.2;0.03;0.6;0.2;17;1
418-b;27;3;21;3;11;1;1.7;0.2;3.4;0.4;0.16;0.02;0.8;0.2;16;1
;;;;;;;;;;;;;;;;
